R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,8.9E-6,0.031,0.031,0.0,240.0,8.5,0.0,0.0,3.1E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,7.8E-6,0.031,0.031,0.0,240.0,8.5,0.0,0.0,3.3E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,9.8E-6,0.031,0.031,0.0,240.0,8.5,0.0,0.0,3.0E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.2E-5,0.031,0.031,0.0,240.0,8.5,0.0,0.0,2.9E7,1.0,7.0E8,
1.6E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.2E-5,0.031,0.031,0.0,240.0,8.5,0.0,0.0,2.8E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.3E-5,0.031,0.031,0.0,240.0,8.5,0.0,0.0,2.7E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.6E-5,0.031,0.031,0.0,240.0,8.5,0.0,0.0,2.5E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.6E-5,0.031,0.031,0.0,230.0,8.5,0.0,0.0,2.5E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.6E-5,0.031,0.031,0.0,230.0,8.5,0.0,0.0,2.5E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,1.4E-5,0.031,0.031,0.0,230.0,8.5,0.0,0.0,2.6E7,1.0,6.9E8,
