RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
1024722.73992,894303.64513,958415.21752,3080735.07033,935308.82076,1000000.0,1000000.0,1000000.0,848218.05176,
1024722.73992,894303.64513,958415.21752,3080735.07033,935308.82076,1000000.0,1000000.0,1000000.0,896419.89529,
1019696.19168,894303.64513,958415.21752,3075708.52208,935308.82076,1000000.0,1000000.0,1000000.0,860381.74174,
1018054.9488,891688.1783,957764.78967,3070681.97384,935189.41007,1000000.0,1000000.0,1000000.0,868210.29545,
1047098.16271,891688.1783,957764.78967,3070681.97384,935189.41007,1000000.0,1000000.0,1000000.0,868210.29545,
1034529.6624,891675.38585,957750.42171,3060690.00382,935157.57369,1000000.0,1000000.0,1000000.0,855736.07002,
1095596.56595,891675.38585,957750.42171,3055663.45557,935157.57369,1000000.0,1000000.0,1000000.0,888263.52551,
1090567.90409,891662.69,957736.16225,3045671.024,935125.9777,1000000.0,1000000.0,1000000.0,863130.78428,
1090567.90409,891662.69,957736.16225,3045671.024,935125.9777,1000000.0,1000000.0,1000000.0,912252.47457,
1071678.84258,891444.27925,957736.16225,3059751.94802,935125.9777,1000000.0,1000000.0,1000000.0,851933.89562,
1071587.70916,887046.19359,957050.30827,2904792.76969,934410.68522,1000000.0,1000000.0,1000000.0,876788.65045,
991940.72634,887040.36204,957043.7585,2979440.09849,934396.17231,1000000.0,1000000.0,1000000.0,850538.26536,
984198.04411,884729.94777,957043.7585,2979440.09849,934396.17231,1000000.0,1000000.0,1000000.0,861835.37531,
928252.15786,879471.01364,957043.7585,3000432.53292,934396.17231,1000000.0,1000000.0,1000000.0,831813.76377,
915685.78724,879471.01364,957043.7585,3000432.53292,934396.17231,1000000.0,1000000.0,1000000.0,844221.11915,
904820.13477,879471.01364,957043.7585,3000432.53292,934396.17231,1000000.0,1000000.0,1000000.0,803873.00564,
909626.7886,879465.18208,957037.20874,2995433.84975,934381.6594,1000000.0,1000000.0,1000000.0,813707.4173,
909626.7886,879465.18208,957037.20874,2995433.84975,934381.6594,1000000.0,1000000.0,1000000.0,847108.29823,
905482.06231,879465.18208,957037.20874,2995433.84975,934381.6594,1000000.0,1000000.0,1000000.0,823982.87003,
905482.06231,879465.18208,957037.20874,2995433.84975,934381.6594,1000000.0,1000000.0,1000000.0,798982.65232,
828669.13134,879028.81016,957037.20874,3114422.94834,934381.6594,1000000.0,1000000.0,1000000.0,888338.14673,
887448.54247,879022.97861,957030.65897,3109424.26516,934367.14649,1000000.0,1000000.0,1000000.0,853152.30901,
787041.5353,879022.97861,957030.65897,3209831.27233,934367.14649,1000000.0,1000000.0,1000000.0,887995.05338,
987707.4026,878889.57942,957002.72661,3180155.82056,934134.4669,1000000.0,1000000.0,1000000.0,842756.11917,
987707.4026,878889.57942,957002.72661,3180155.82056,934134.4669,1000000.0,1000000.0,1000000.0,837258.32851,
987707.4026,878889.57942,957002.72661,3180155.82056,934134.4669,1000000.0,1000000.0,1000000.0,900119.5898,
987707.4026,878889.57942,957002.72661,3180155.82056,934134.4669,1000000.0,1000000.0,1000000.0,900119.5898,
987707.4026,878889.57942,957002.72661,3180155.82056,934134.4669,1000000.0,1000000.0,1000000.0,834774.4626,
975141.03199,878889.57942,957002.72661,3180155.82056,934134.4669,1000000.0,1000000.0,1000000.0,829147.69707,
975140.06115,878883.74786,956996.17685,3175157.13739,934119.95399,1000000.0,1000000.0,1000000.0,813194.54334,
953777.2311,878883.74786,956996.17685,3196519.96743,934119.95399,1000000.0,1000000.0,1000000.0,805094.55022,
943250.11887,871817.94123,956996.17685,3196519.96743,934119.95399,1000000.0,1000000.0,1000000.0,819908.11178,
906807.64409,877149.06776,956996.17685,3225422.61985,934119.95399,1000000.0,1000000.0,1000000.0,837536.2057,
906807.64409,877149.06776,956996.17685,3225422.61985,934119.95399,1000000.0,1000000.0,1000000.0,870777.94045,
846257.53156,877149.06776,956996.17685,3285972.73238,934119.95399,1000000.0,1000000.0,1000000.0,863238.11808,
899738.18701,875286.63586,956967.49317,3303901.45099,933921.01458,1000000.0,1000000.0,1000000.0,868173.90417,
887171.81639,875286.63586,956967.49317,3303901.45099,933921.01458,1000000.0,1000000.0,1000000.0,855607.53355,
870158.60925,874706.92415,956967.49317,3303901.45099,933921.01458,1000000.0,1000000.0,1000000.0,857326.47024,
892324.14631,874587.46311,956967.49317,3307790.82321,933921.01458,1000000.0,1000000.0,1000000.0,837065.43846,
