R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.3000000000000001E-37,0.02,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.3E-5,0.067,0.067,0.0,350.0,5.4,7.4E-20,1.6E-30,0.54,2.2E7,1.0,6.7E8,
1.3000000000000001E-37,0.02,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.2E-5,0.067,0.067,0.0,350.0,5.4,7.9E-20,1.5000000000000001E-30,0.54,2.3E7,1.0,6.7E8,
1.1E-37,0.019,690.0,2500.0,8300.0,5100000.0,10000.0,1500.0,1900.0,220.0,2300.0,0.18,5100000.0,0.0,3.8E-5,0.068,0.068,0.0,400.0,17.0,6.5E-19,1.5E-25,2.1,2.3E7,1.0,6.9E8,
4.4E-38,0.0089,6500.0,2300.0,790.0,5100000.0,2500.0,1500.0,1900.0,220.0,2300.0,0.18,5100000.0,0.0,0.51,0.068,0.068,0.0,390.0,7.3,1.1E-18,1.0999999999999998E-24,2.3,2.2E7,1.0,6.9E8,
4.2E-38,0.0085,6500.0,2300.0,780.0,4700000.0,2400.0,1500.0,1900.0,220.0,2300.0,0.17,4700000.0,0.0,2.1E-5,0.064,0.064,0.0,390.0,7.2,1.1E-18,7.2E-25,2.3,2.1E7,1.0,6.8E8,
4.0000000000000004E-38,0.0082,6500.0,2300.0,780.0,4400000.0,2400.0,1500.0,1900.0,220.0,2300.0,0.17,4500000.0,0.0,2.3E-5,0.062,0.062,0.0,390.0,6.9,1.1E-18,3.1E-25,2.3,2.0E7,1.0,6.8E8,
4.0000000000000004E-38,0.0081,6500.0,2300.0,780.0,4400000.0,2400.0,1500.0,1900.0,220.0,2300.0,0.17,4400000.0,0.0,2.5E-5,0.061,0.061,0.0,380.0,6.8,1.1E-18,1.4E-25,2.3,1.9E7,1.0,6.8E8,
3.9000000000000004E-38,0.0078,6500.0,2300.0,780.0,4099999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,4099999.9999999995,0.0,2.6E-5,0.058,0.058,0.0,380.0,6.4,1.1E-18,6.0E-26,2.3,1.9E7,1.0,6.8E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.6E-5,0.055,0.055,0.0,380.0,5.9,1.1E-18,2.6E-26,2.3,1.8E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.7E-5,0.055,0.055,0.0,380.0,5.9,1.1E-18,7.7E-27,2.3,1.8E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.5E-5,0.055,0.055,0.0,370.0,5.9,1.1E-18,2.4E-27,2.3,1.8E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.2E-5,0.055,0.055,0.0,370.0,5.9,1.1E-18,7.4E-28,2.3,1.9E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.8E-5,0.055,0.055,0.0,360.0,5.9,1.1E-18,2.5E-28,2.3,2.0E7,1.0,6.7E8,
