R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.5E-5,0.046,0.046,0.0,330.0,6.8,0.0,0.0,2.4E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.3E-5,0.046,0.046,0.0,320.0,6.8,0.0,0.0,2.6E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.1E-5,0.046,0.046,0.0,320.0,6.8,0.0,0.0,2.7E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,9.4E-6,0.046,0.046,0.0,320.0,6.8,0.0,0.0,2.9E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,1.2E-5,0.045,0.045,0.0,320.0,6.7,0.0,0.0,2.6E7,1.0,7.0E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,1.4E-5,0.045,0.045,0.0,320.0,6.7,0.0,0.0,2.5E7,1.0,7.0E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,1.5E-5,0.045,0.045,0.0,320.0,6.7,0.0,0.0,2.4E7,1.0,7.0E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,1.4E-5,0.045,0.045,0.0,320.0,6.7,0.0,0.0,2.5E7,1.0,7.0E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,1.3E-5,0.045,0.045,0.0,320.0,6.7,0.0,0.0,2.5E7,1.0,7.0E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,1.1E-5,0.045,0.045,0.0,310.0,6.7,0.0,0.0,2.7E7,1.0,7.0E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,9.9E-6,0.045,0.045,0.0,310.0,6.7,0.0,0.0,2.8E7,1.0,7.0E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,8.6E-6,0.045,0.045,0.0,310.0,6.7,0.0,0.0,2.9E7,1.0,7.0E8,
5.6E-38,0.01,1200.0,1700.0,3200.0,4800000.0,4700.0,1400.0,1900.0,210.0,6700.0,0.18,4800000.0,7.8E-7,0.14,0.14,0.0,420.0,11.0,0.0,0.0,3.0E7,1.0,7.3E8,
5.5E-38,0.01,1200.0,1700.0,3200.0,4500000.0,4700.0,1400.0,1900.0,210.0,6700.0,0.18,4500000.0,1.8E-5,0.14,0.14,0.0,420.0,11.0,0.0,0.0,2.7E7,1.0,7.2E8,
5.2E-38,0.0096,1200.0,1700.0,3200.0,4099999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.18,4099999.9999999995,2.1E-5,0.14,0.14,0.0,420.0,10.0,0.0,0.0,2.5E7,1.0,7.2E8,
5.1E-38,0.0094,1200.0,1700.0,3200.0,3899999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.3E-5,0.13,0.13,0.0,420.0,9.7,0.0,0.0,2.4E7,1.0,7.2E8,
5.1E-38,0.0094,1200.0,1700.0,3200.0,3899999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.5E-5,0.13,0.13,0.0,420.0,9.7,0.0,0.0,2.3E7,1.0,7.2E8,
5.1E-38,0.0094,1200.0,1700.0,3200.0,3899999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.5E-5,0.13,0.13,0.0,420.0,9.7,0.0,0.0,2.3E7,1.0,7.2E8,
5.1E-38,0.0094,1200.0,1700.0,3200.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.6E-5,0.13,0.13,0.0,420.0,9.7,0.0,0.0,2.3E7,1.0,7.1E8,
5.1E-38,0.0094,1200.0,1700.0,3200.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.9E-5,0.13,0.13,0.0,420.0,9.7,0.0,0.0,2.2E7,1.0,7.1E8,
4.1000000000000003E-38,0.0095,6600.0,3400.0,1900.0,4700000.0,4700.0,1400.0,1800.0,210.0,6700.0,0.18,4800000.0,1.9E-5,0.14,0.14,0.0,440.0,5.9,0.0,0.0,2.2E7,1.0,7.2E8,
3.9000000000000004E-38,0.0092,6500.0,3400.0,1900.0,4400000.0,4700.0,1400.0,1800.0,210.0,6700.0,0.18,4400000.0,1.9E-5,0.13,0.13,0.0,440.0,5.6,0.0,0.0,2.1E7,1.0,7.2E8,
3.8000000000000005E-38,0.0088,6500.0,3400.0,1900.0,3999999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3999999.9999999995,2.0E-5,0.13,0.13,0.0,430.0,5.3,0.0,0.0,2.0E7,1.0,7.1E8,
3.7E-38,0.0087,6500.0,3400.0,1900.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.2E-5,0.13,0.13,0.0,430.0,5.1,0.0,0.0,1.9E7,1.0,7.1E8,
3.7E-38,0.0087,6500.0,3400.0,1900.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.3E-5,0.13,0.13,0.0,430.0,5.1,0.0,0.0,1.9E7,1.0,7.1E8,
3.7E-38,0.0087,6500.0,3400.0,1900.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.2E-5,0.13,0.13,0.0,430.0,5.1,0.0,0.0,1.9E7,1.0,7.1E8,
3.7E-38,0.0087,6500.0,3400.0,1900.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,1.9E-5,0.13,0.13,0.0,430.0,5.1,0.0,0.0,2.0E7,1.0,7.1E8,
3.7E-38,0.0087,6500.0,3400.0,1900.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,1.6E-5,0.13,0.13,0.0,430.0,5.1,0.0,0.0,2.1E7,1.0,7.1E8,
3.7E-38,0.0087,6500.0,3400.0,1900.0,3799999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,1.4E-5,0.13,0.13,0.0,430.0,5.1,0.0,0.0,2.3E7,1.0,7.1E8,
4.9E-38,0.0086,1100.0,220.0,3600.0,4900000.0,4700.0,1400.0,1800.0,210.0,6700.0,0.18,4900000.0,1.7E-5,0.11,0.11,0.0,470.0,5.9,0.0,0.0,2.3E7,1.0,7.3E8,
4.8E-38,0.0084,1100.0,220.0,3600.0,4700000.0,4700.0,1400.0,1800.0,210.0,6700.0,0.18,4700000.0,1.9E-5,0.11,0.11,0.0,470.0,5.8,0.0,0.0,2.2E7,1.0,7.3E8,
4.6E-38,0.008,1100.0,220.0,3600.0,4300000.0,4700.0,1400.0,1800.0,210.0,6700.0,0.17,4300000.0,2.0E-5,0.11,0.11,0.0,470.0,5.5,0.0,0.0,2.1E7,1.0,7.2E8,
4.3E-38,0.0076,1100.0,220.0,3600.0,3899999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.1E-5,0.1,0.1,0.0,470.0,5.2,0.0,0.0,2.0E7,1.0,7.2E8,
4.3E-38,0.0076,1100.0,220.0,3600.0,3899999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.2E-5,0.1,0.1,0.0,470.0,5.2,0.0,0.0,2.0E7,1.0,7.2E8,
4.3E-38,0.0076,1100.0,220.0,3600.0,3899999.9999999995,4700.0,1400.0,1800.0,210.0,6700.0,0.17,3899999.9999999995,2.1E-5,0.1,0.1,0.0,470.0,5.2,0.0,0.0,2.0E7,1.0,7.2E8,
2.3E-37,0.036,3300.0,25000.0,5900.0,4800000.0,9000.0,1400.0,1800.0,210.0,6700.0,0.18,4900000.0,1.1E-5,0.14,0.14,0.0,470.0,6.6,0.0,0.0,2.1E7,1.0,7.3E8,
8.4E-38,0.013,3300.0,2800.0,5900.0,4700000.0,1400.0,1400.0,1800.0,210.0,6700.0,0.18,4700000.0,2.6E-5,0.12,0.12,0.0,470.0,6.5,0.0,0.0,2.0E7,1.0,7.3E8,
8.100000000000001E-38,0.013,3300.0,2800.0,5900.0,4200000.0,1400.0,1400.0,1800.0,210.0,6700.0,0.17,4200000.0,2.8E-5,0.11,0.11,0.0,470.0,6.2,0.0,0.0,1.9E7,1.0,7.2E8,
8.000000000000001E-38,0.013,3300.0,2800.0,5800.0,3999999.9999999995,1400.0,1400.0,1800.0,210.0,6600.0,0.17,3999999.9999999995,3.0E-5,0.11,0.11,0.0,470.0,6.1,0.0,0.0,1.9E7,1.0,7.2E8,
7.900000000000001E-38,0.013,3300.0,2800.0,5800.0,3899999.9999999995,1400.0,1400.0,1800.0,210.0,6600.0,0.17,3899999.9999999995,3.2E-5,0.11,0.11,0.0,470.0,6.0,0.0,0.0,1.8E7,1.0,7.2E8,
7.900000000000001E-38,0.013,3300.0,2800.0,5800.0,3899999.9999999995,1400.0,1400.0,1800.0,210.0,6600.0,0.17,3899999.9999999995,3.2E-5,0.11,0.11,0.0,470.0,6.0,0.0,0.0,1.8E7,1.0,7.2E8,
